date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:44:01	6547/6547	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2004%20Oct%202020%2011:14:02%20GMT	https://designreset.com/preview-equation/default-light/assets/css/ui-kit/notification/fonts/linecons/linecons.svg?-kux0c3	C:/Users/user/Desktop/xyz/designreset.com/preview-equation/default-light/assets/css/ui-kit/notification/fonts/linecons/lineconsba9e.svg	(from https://designreset.com/preview-equation/default-light/assets/css/ui-kit/notification/tympanus/demo.css)
16:44:02	121636/121636	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2002%20Jan%202017%2009:13:46%20GMT	https://designreset.com/preview-equation/default-light/assets/css/design-css/fonts/metro.eot	C:/Users/user/Desktop/xyz/designreset.com/preview-equation/default-light/assets/css/design-css/fonts/metro.eot	(from https://designreset.com/preview-equation/default-light/assets/css/design-css/design-icons.css)
16:44:05	121556/121556	---M--	200	added ('OK')	font/woff	date:Mon,%2002%20Jan%202017%2009:13:46%20GMT	https://designreset.com/preview-equation/default-light/assets/css/design-css/fonts/metro.woff	C:/Users/user/Desktop/xyz/designreset.com/preview-equation/default-light/assets/css/design-css/fonts/metro.woff	(from https://designreset.com/preview-equation/default-light/assets/css/design-css/design-icons.css)
16:44:05	121480/121480	---M--	200	added ('OK')	font/ttf	date:Mon,%2002%20Jan%202017%2009:13:46%20GMT	https://designreset.com/preview-equation/default-light/assets/css/design-css/fonts/metro.ttf	C:/Users/user/Desktop/xyz/designreset.com/preview-equation/default-light/assets/css/design-css/fonts/metro.ttf	(from https://designreset.com/preview-equation/default-light/assets/css/design-css/design-icons.css)
16:44:06	1569/1569	---M--	200	added ('OK')	image/png	date:Fri,%2020%20Jul%202018%2021:52:44%20GMT	https://designreset.com/preview-equation/default-light/assets/img/arrow-left-dark.png	C:/Users/user/Desktop/xyz/designreset.com/preview-equation/default-light/assets/img/arrow-left-dark.png	(from https://designreset.com/preview-equation/default-light/assets/css/components/custom-sliders.css)
16:44:07	1555/1555	---M--	200	added ('OK')	image/png	date:Fri,%2020%20Jul%202018%2021:53:16%20GMT	https://designreset.com/preview-equation/default-light/assets/img/arrow-right-dark.png	C:/Users/user/Desktop/xyz/designreset.com/preview-equation/default-light/assets/img/arrow-right-dark.png	(from https://designreset.com/preview-equation/default-light/assets/css/components/custom-sliders.css)
16:44:07	6547/6547	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2004%20Oct%202020%2011:14:08%20GMT	https://designreset.com/preview-equation/default-light/plugins/popup/site-assets/ajax/assets/img/lightbox-3.jpeg	C:/Users/user/Desktop/xyz/designreset.com/preview-equation/default-light/plugins/popup/site-assets/ajax/assets/img/lightbox-3.jpeg	(from https://designreset.com/preview-equation/default-light/plugins/popup/site-assets/ajax/test-ajax.html)
16:44:07	6547/6547	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2004%20Oct%202020%2011:14:08%20GMT	https://designreset.com/preview-equation/default-light/plugins/popup/site-assets/ajax/assets/img/lightbox-8.jpeg	C:/Users/user/Desktop/xyz/designreset.com/preview-equation/default-light/plugins/popup/site-assets/ajax/assets/img/lightbox-8.jpeg	(from https://designreset.com/preview-equation/default-light/plugins/popup/site-assets/ajax/test-ajax.html)
16:44:08	6547/6547	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2004%20Oct%202020%2011:14:09%20GMT	https://designreset.com/preview-equation/default-light/plugins/popup/site-assets/ajax/assets/img/lightbox-15.jpeg	C:/Users/user/Desktop/xyz/designreset.com/preview-equation/default-light/plugins/popup/site-assets/ajax/assets/img/lightbox-15.jpeg	(from https://designreset.com/preview-equation/default-light/plugins/popup/site-assets/ajax/test-ajax-2.html)
16:44:08	2998/2998	---M--	200	added ('OK')	image/png	date:Sat,%2012%20Nov%202016%2006:30:04%20GMT	https://designreset.com/preview-equation/default-light/plugins/scrollbar/mCSB_buttons.png	C:/Users/user/Desktop/xyz/designreset.com/preview-equation/default-light/plugins/scrollbar/mCSB_buttons.png	(from https://designreset.com/preview-equation/default-light/plugins/scrollbar/jquery.mCustomScrollbar.css)
16:44:09	182/182	---M--	200	added ('OK')	image/png	date:Sat,%2012%20Nov%202016%2006:30:04%20GMT	https://designreset.com/preview-equation/default-light/plugins/scrollbar/images/overlay.png	C:/Users/user/Desktop/xyz/designreset.com/preview-equation/default-light/plugins/scrollbar/images/overlay.png	(from https://designreset.com/preview-equation/default-light/plugins/scrollbar/colorbox.css)
16:44:09	2893/2893	---M--	200	added ('OK')	image/png	date:Sat,%2012%20Nov%202016%2006:30:04%20GMT	https://designreset.com/preview-equation/default-light/plugins/scrollbar/images/controls.png	C:/Users/user/Desktop/xyz/designreset.com/preview-equation/default-light/plugins/scrollbar/images/controls.png	(from https://designreset.com/preview-equation/default-light/plugins/scrollbar/colorbox.css)
16:44:09	112/112	---M--	200	added ('OK')	image/png	date:Sat,%2012%20Nov%202016%2006:30:04%20GMT	https://designreset.com/preview-equation/default-light/plugins/scrollbar/images/border.png	C:/Users/user/Desktop/xyz/designreset.com/preview-equation/default-light/plugins/scrollbar/images/border.png	(from https://designreset.com/preview-equation/default-light/plugins/scrollbar/colorbox.css)
16:44:09	157/157	---M--	200	added ('OK')	image/png	date:Sat,%2012%20Nov%202016%2006:30:04%20GMT	https://designreset.com/preview-equation/default-light/plugins/scrollbar/images/loading_background.png	C:/Users/user/Desktop/xyz/designreset.com/preview-equation/default-light/plugins/scrollbar/images/loading_background.png	(from https://designreset.com/preview-equation/default-light/plugins/scrollbar/colorbox.css)
16:44:10	9427/9427	---M--	200	added ('OK')	image/gif	date:Sat,%2012%20Nov%202016%2006:30:04%20GMT	https://designreset.com/preview-equation/default-light/plugins/scrollbar/images/loading.gif	C:/Users/user/Desktop/xyz/designreset.com/preview-equation/default-light/plugins/scrollbar/images/loading.gif	(from https://designreset.com/preview-equation/default-light/plugins/scrollbar/colorbox.css)
16:44:10	547/547	---M--	200	added ('OK')	image/png	date:Sun,%2025%20Feb%202018%2007:25:36%20GMT	https://designreset.com/preview-equation/default-light/plugins/lightbox/default-skin/default-skin.png	C:/Users/user/Desktop/xyz/designreset.com/preview-equation/default-light/plugins/lightbox/default-skin/default-skin.png	(from https://designreset.com/preview-equation/default-light/plugins/lightbox/default-skin/default-skin.css)
16:44:11	1554/1554	---M--	200	added ('OK')	image/svg+xml	date:Sun,%2025%20Feb%202018%2007:25:36%20GMT	https://designreset.com/preview-equation/default-light/plugins/lightbox/default-skin/default-skin.svg	C:/Users/user/Desktop/xyz/designreset.com/preview-equation/default-light/plugins/lightbox/default-skin/default-skin.svg	(from https://designreset.com/preview-equation/default-light/plugins/lightbox/default-skin/default-skin.css)
16:44:11	432805/432805	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2002%20Jan%202017%2009:13:46%20GMT	https://designreset.com/preview-equation/default-light/assets/css/design-css/fonts/metro.svg	C:/Users/user/Desktop/xyz/designreset.com/preview-equation/default-light/assets/css/design-css/fonts/metro.svg	(from https://designreset.com/preview-equation/default-light/assets/css/design-css/design-icons.css)
16:44:11	866/866	---M--	200	added ('OK')	image/gif	date:Sun,%2025%20Feb%202018%2007:25:36%20GMT	https://designreset.com/preview-equation/default-light/plugins/lightbox/default-skin/preloader.gif	C:/Users/user/Desktop/xyz/designreset.com/preview-equation/default-light/plugins/lightbox/default-skin/preloader.gif	(from https://designreset.com/preview-equation/default-light/plugins/lightbox/default-skin/default-skin.css)
16:44:12	68627/68627	---M--	200	added ('OK')	image/png	date:Fri,%2021%20Apr%202017%2013:55:48%20GMT	https://designreset.com/preview-equation/default-light/plugins/color_pickers/jquery_minicolors/jquery.minicolors.png	C:/Users/user/Desktop/xyz/designreset.com/preview-equation/default-light/plugins/color_pickers/jquery_minicolors/jquery.minicolors.png	(from https://designreset.com/preview-equation/default-light/plugins/color_pickers/jquery_minicolors/jquery.minicolors.css)
16:44:13	8817/8817	---M--	200	added ('OK')	image/png	date:Sun,%2025%20Aug%202013%2021:13:02%20GMT	https://designreset.com/preview-equation/default-light/plugins/bootstrap-colorpicker/img/saturation.png	C:/Users/user/Desktop/xyz/designreset.com/preview-equation/default-light/plugins/bootstrap-colorpicker/img/saturation.png	(from https://designreset.com/preview-equation/default-light/plugins/bootstrap-colorpicker/bootstrap-colorpicker.css)
16:44:14	2972/2972	---M--	200	added ('OK')	image/png	date:Sun,%2025%20Aug%202013%2021:12:58%20GMT	https://designreset.com/preview-equation/default-light/plugins/bootstrap-colorpicker/img/hue.png	C:/Users/user/Desktop/xyz/designreset.com/preview-equation/default-light/plugins/bootstrap-colorpicker/img/hue.png	(from https://designreset.com/preview-equation/default-light/plugins/bootstrap-colorpicker/bootstrap-colorpicker.css)
16:44:14	3271/3271	---M--	200	added ('OK')	image/png	date:Sun,%2025%20Aug%202013%2021:12:58%20GMT	https://designreset.com/preview-equation/default-light/plugins/bootstrap-colorpicker/img/alpha.png	C:/Users/user/Desktop/xyz/designreset.com/preview-equation/default-light/plugins/bootstrap-colorpicker/img/alpha.png	(from https://designreset.com/preview-equation/default-light/plugins/bootstrap-colorpicker/bootstrap-colorpicker.css)
16:44:15	184/184	---M--	200	added ('OK')	image/png	date:Mon,%2003%20Aug%202015%2006:38:50%20GMT	https://designreset.com/preview-equation/default-light/assets/css/components/animation/css/images/ddown.png	C:/Users/user/Desktop/xyz/designreset.com/preview-equation/default-light/assets/css/components/animation/css/images/ddown.png	(from https://designreset.com/preview-equation/default-light/assets/css/components/animation/css/style.css)
16:44:16	540/540	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2003%20Aug%202015%2006:38:50%20GMT	https://designreset.com/preview-equation/default-light/assets/css/components/animation/css/images/ddowneccb.svg?3	C:/Users/user/Desktop/xyz/designreset.com/preview-equation/default-light/assets/css/components/animation/css/images/ddowneccbeccb.svg	(from https://designreset.com/preview-equation/default-light/assets/css/components/animation/css/style.css)
16:44:16	1122/1122	---M--	200	added ('OK')	image/png	date:Sat,%2012%20May%202018%2021:29:54%20GMT	https://designreset.com/preview-equation/default-light/plugins/multi-select/switch.png	C:/Users/user/Desktop/xyz/designreset.com/preview-equation/default-light/plugins/multi-select/switch.png	(from https://designreset.com/preview-equation/default-light/plugins/multi-select/multi-select.css)
16:44:17	22253/22253	---M--	200	added ('OK')	image/png	date:Mon,%2011%20Jul%202016%2016:10:30%20GMT	https://designreset.com/preview-equation/default-light/assets/css/elements/weather-app/images/5.png	C:/Users/user/Desktop/xyz/designreset.com/preview-equation/default-light/assets/css/elements/weather-app/images/5.png	(from https://designreset.com/preview-equation/default-light/assets/css/elements/weather-app/style.css)
16:44:19	6208/6208	---M--	200	added ('OK')	image/png	date:Sat,%2009%20Jul%202016%2022:16:44%20GMT	https://designreset.com/preview-equation/default-light/assets/css/elements/weather-app/images/a.png	C:/Users/user/Desktop/xyz/designreset.com/preview-equation/default-light/assets/css/elements/weather-app/images/a.png	(from https://designreset.com/preview-equation/default-light/assets/css/elements/weather-app/style.css)
16:44:20	1002/1002	---M--	200	added ('OK')	image/png	date:Wed,%2024%20May%202017%2000:49:30%20GMT	https://designreset.com/preview-equation/default-light/assets/css/elements/weather-app/images/arrow_up.png	C:/Users/user/Desktop/xyz/designreset.com/preview-equation/default-light/assets/css/elements/weather-app/images/arrow_up.png	(from https://designreset.com/preview-equation/default-light/assets/css/elements/weather-app/style.css)
16:44:20	6547/6547	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2004%20Oct%202020%2011:14:21%20GMT	https://designreset.com/preview-equation/default-light/assets/css/elements/weather-app/grabbing.png	C:/Users/user/Desktop/xyz/designreset.com/preview-equation/default-light/assets/css/elements/weather-app/grabbing.png	(from https://designreset.com/preview-equation/default-light/assets/css/elements/weather-app/owl.carousel.css)
16:44:21	4976/4976	---M--	200	added ('OK')	image/png	date:Fri,%2020%20Apr%202018%2011:22:10%20GMT	https://designreset.com/preview-equation/default-light/plugins/sliders/owlCarousel/css/owl.video.play.png	C:/Users/user/Desktop/xyz/designreset.com/preview-equation/default-light/plugins/sliders/owlCarousel/css/owl.video.play.png	(from https://designreset.com/preview-equation/default-light/plugins/sliders/owlCarousel/css/owl.carousel.min.css)
